date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:29:41	78/78	---M-Z	200	added ('OK')	text/plain	etag:%22ac0025-54-4f2870d6f1803%22	http://aporee.org/robots.txt		(from )
00:29:41	35990/35990	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202016%2016:29:40%20GMT	http://aporee.org/maps/work/?clat=25.088242&clng=121.250439&z=13&m=satellite	C:/Users/aries/Documents/limeishu.org/map/map/aporee.org/maps/work/index80ff.html	(from )
00:29:42	4157/4157	---M-Z	200	added ('OK')	text/css	etag:%22d64fad-103d-5070f49a295f6%22	http://aporee.org/maps/work/css/page.css	C:/Users/aries/Documents/limeishu.org/map/map/aporee.org/maps/work/css/page.css	(from http://aporee.org/maps/work/?clat=25.088242&clng=121.250439&z=13&m=satellite)
00:29:42	671/671	---M-Z	200	added ('OK')	text/css	etag:%22d60125-29f-4af17740d9b40%22	http://aporee.org/maps/work/css/dropdown.css	C:/Users/aries/Documents/limeishu.org/map/map/aporee.org/maps/work/css/dropdown.css	(from http://aporee.org/maps/work/?clat=25.088242&clng=121.250439&z=13&m=satellite)
00:29:42	1371/1371	---M-Z	200	added ('OK')	text/css	etag:%22d60124-55b-4af2aa17306c0%22	http://aporee.org/maps/work/css/menu.css	C:/Users/aries/Documents/limeishu.org/map/map/aporee.org/maps/work/css/menu.css	(from http://aporee.org/maps/work/?clat=25.088242&clng=121.250439&z=13&m=satellite)
00:29:43	2630/2630	---M-Z	200	added ('OK')	application/javascript	etag:%22d60140-a46-4ad7597f46dc0%22	http://aporee.org/maps/work/js/json2.stringify.js	C:/Users/aries/Documents/limeishu.org/map/map/aporee.org/maps/work/js/json2.stringify.js	(from http://aporee.org/maps/work/?clat=25.088242&clng=121.250439&z=13&m=satellite)
00:29:43	1440/1440	---M-Z	200	added ('OK')	application/javascript	etag:%22d60144-5a0-4ad7597f46dc0%22	http://aporee.org/maps/work/js/json_stringify.js	C:/Users/aries/Documents/limeishu.org/map/map/aporee.org/maps/work/js/json_stringify.js	(from http://aporee.org/maps/work/?clat=25.088242&clng=121.250439&z=13&m=satellite)
00:29:43	7114/7114	---M-Z	200	added ('OK')	application/javascript	etag:%22d6014d-1bca-4ad7597f46dc0%22	http://aporee.org/maps/work/js/sajax.js	C:/Users/aries/Documents/limeishu.org/map/map/aporee.org/maps/work/js/sajax.js	(from http://aporee.org/maps/work/?clat=25.088242&clng=121.250439&z=13&m=satellite)
00:29:44	10070/10070	---M-Z	200	added ('OK')	application/javascript	etag:%22d632c2-2756-4e19d9841fd53%22	http://aporee.org/maps/work/js/markerclusterer_packed.js	C:/Users/aries/Documents/limeishu.org/map/map/aporee.org/maps/work/js/markerclusterer_packed.js	(from http://aporee.org/maps/work/?clat=25.088242&clng=121.250439&z=13&m=satellite)
00:29:44	2069/2069	---M-Z	200	added ('OK')	application/javascript	etag:%22d60149-815-4ad76cd014000%22	http://aporee.org/maps/work/js/OverlayMessage.js	C:/Users/aries/Documents/limeishu.org/map/map/aporee.org/maps/work/js/OverlayMessage.js	(from http://aporee.org/maps/work/?clat=25.088242&clng=121.250439&z=13&m=satellite)
00:29:45	12881/12881	---M-Z	200	added ('OK')	application/javascript	etag:%22d60147-3251-476fd627ceb80%22	http://aporee.org/maps/work/js/ejs_production.js	C:/Users/aries/Documents/limeishu.org/map/map/aporee.org/maps/work/js/ejs_production.js	(from http://aporee.org/maps/work/?clat=25.088242&clng=121.250439&z=13&m=satellite)
00:29:45	8713/8713	---M-Z	200	added ('OK')	application/javascript	etag:%22d6014a-2209-496ec34da1b80%22	http://aporee.org/maps/work/js/keydragzoom_packed.js	C:/Users/aries/Documents/limeishu.org/map/map/aporee.org/maps/work/js/keydragzoom_packed.js	(from http://aporee.org/maps/work/?clat=25.088242&clng=121.250439&z=13&m=satellite)
00:29:45	5106/5106	---M-Z	200	added ('OK')	application/javascript	etag:%22d61e6a-13f2-512ba2b289c7c%22	http://aporee.org/maps/work/js/en.js	C:/Users/aries/Documents/limeishu.org/map/map/aporee.org/maps/work/js/en.js	(from http://aporee.org/maps/work/?clat=25.088242&clng=121.250439&z=13&m=satellite)
00:29:47	35990/35990	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202016%2016:29:46%20GMT	http://aporee.org/maps/work/	C:/Users/aries/Documents/limeishu.org/map/map/aporee.org/maps/work/index.html	(from http://aporee.org/maps/work/?clat=25.088242&clng=121.250439&z=13&m=satellite)
00:29:47	103/103	---M--	200	added ('OK')	image/gif	etag:%22d60111-67-48af09b789e00%22	http://aporee.org/maps/work/images/input.gif	C:/Users/aries/Documents/limeishu.org/map/map/aporee.org/maps/work/images/input.gif	(from http://aporee.org/maps/work/?clat=25.088242&clng=121.250439&z=13&m=satellite)
00:29:47	610/610	---M--	200	added ('OK')	image/png	etag:%22d6010e-262-48af099905600%22	http://aporee.org/maps/work/images/default.png	C:/Users/aries/Documents/limeishu.org/map/map/aporee.org/maps/work/images/default.png	(from http://aporee.org/maps/work/?clat=25.088242&clng=121.250439&z=13&m=satellite)
00:29:47	154488/154488	---M-Z	200	added ('OK')	application/javascript	etag:%22ac003a-25b78-4b7ed56aaaa00%22	http://aporee.org/mediaplayer/xx/jwplayer.js	C:/Users/aries/Documents/limeishu.org/map/map/aporee.org/mediaplayer/xx/jwplayer.js	(from http://aporee.org/maps/work/?clat=25.088242&clng=121.250439&z=13&m=satellite)
00:29:48	750/750	---M--	200	added ('OK')	image/gif	etag:%22d6011a-2ee-48af0af9e1680%22	http://aporee.org/maps/work/images/hot.gif	C:/Users/aries/Documents/limeishu.org/map/map/aporee.org/maps/work/images/hot.gif	(from http://aporee.org/maps/work/?clat=25.088242&clng=121.250439&z=13&m=satellite)
